LV_grid,LV_osmid,EV_share
2703-23_0_4,0,0.00013084022135417185
2703-23_0_4,1,0.00020457516664405554
2703-23_0_4,10,0.0002475180602626817
2703-23_0_4,100,0.00020009927246425596
2703-23_0_4,101,0.0006426268736987762
2703-23_0_4,102,0.0006226772064799585
2703-23_0_4,103,0.0
2703-23_0_4,104,0.00023830734750105272
2703-23_0_4,105,0.0
2703-23_0_4,106,0.0
2703-23_0_4,107,0.0
2703-23_0_4,108,0.00020282094962939092
2703-23_0_4,109,0.00013709501200243092
2703-23_0_4,11,0.00017053532542372408
2703-23_0_4,110,0.00012004824524713238
2703-23_0_4,111,0.00021167647719479268
2703-23_0_4,112,0.0
2703-23_0_4,113,0.00019904127633775653
2703-23_0_4,114,0.0
2703-23_0_4,115,0.0
2703-23_0_4,117,0.0
2703-23_0_4,118,0.0001372319298251712
2703-23_0_4,119,0.0001333461514396384
2703-23_0_4,12,0.000124267904173322
2703-23_0_4,120,0.0
2703-23_0_4,121,0.0
2703-23_0_4,122,0.0
2703-23_0_4,123,0.0001779133994837079
2703-23_0_4,124,0.00011878316178355417
2703-23_0_4,125,0.00012848276712535805
2703-23_0_4,126,0.00040312126281069887
2703-23_0_4,127,0.0001664093779165891
2703-23_0_4,128,0.0
2703-23_0_4,129,0.0
2703-23_0_4,13,0.0
2703-23_0_4,130,0.0
2703-23_0_4,131,0.0003635868719476073
2703-23_0_4,132,0.00014893864892116156
2703-23_0_4,133,0.0003968574659212575
2703-23_0_4,134,0.0
2703-23_0_4,135,0.000282782332732784
2703-23_0_4,137,0.0
2703-23_0_4,138,0.0001857543316702886
2703-23_0_4,139,0.0
2703-23_0_4,14,0.0
2703-23_0_4,140,0.00029238515705883635
2703-23_0_4,141,0.0001232035809380782
2703-23_0_4,142,0.0
2703-23_0_4,143,0.0001824376969814735
2703-23_0_4,144,0.0002380915565911001
2703-23_0_4,145,0.0
2703-23_0_4,146,0.0002014064460935882
2703-23_0_4,147,0.0001233206979168749
2703-23_0_4,148,0.0
2703-23_0_4,149,0.00011879061566821988
2703-23_0_4,15,0.0001546309752541629
2703-23_0_4,150,0.0
2703-23_0_4,151,0.0
2703-23_0_4,153,0.00027648911118243423
2703-23_0_4,154,0.0
2703-23_0_4,155,0.0003910556202868395
2703-23_0_4,156,0.0001733836494220651
2703-23_0_4,157,0.0
2703-23_0_4,158,0.00014777612570674185
2703-23_0_4,159,0.0002352617870780454
2703-23_0_4,16,0.0
2703-23_0_4,160,0.00019501861943658027
2703-23_0_4,161,0.0001431542526384195
2703-23_0_4,162,0.0
2703-23_0_4,163,0.00034526283923406705
2703-23_0_4,164,0.0
2703-23_0_4,165,0.0
2703-23_0_4,166,0.0
2703-23_0_4,167,0.0
2703-23_0_4,168,0.00017824004663196592
2703-23_0_4,169,0.0
2703-23_0_4,17,0.00015167631542241115
2703-23_0_4,170,0.0
2703-23_0_4,171,0.0
2703-23_0_4,172,0.0
2703-23_0_4,173,0.0001749845620081083
2703-23_0_4,174,0.00014876877342016566
2703-23_0_4,175,0.0
2703-23_0_4,176,0.00012901322046407173
2703-23_0_4,178,0.0
2703-23_0_4,179,0.0
2703-23_0_4,18,0.0
2703-23_0_4,180,0.0
2703-23_0_4,181,0.0
2703-23_0_4,19,0.0
2703-23_0_4,2,0.0
2703-23_0_4,20,0.0
2703-23_0_4,21,0.00029952830914034
2703-23_0_4,22,0.0
2703-23_0_4,23,0.0
2703-23_0_4,24,0.0002529367568907838
2703-23_0_4,25,0.00019652890518496744
2703-23_0_4,26,0.00028509485484863925
2703-23_0_4,27,0.0
2703-23_0_4,28,0.0003196605708209651
2703-23_0_4,29,0.00015704238784691957
2703-23_0_4,3,0.0
2703-23_0_4,30,0.00014587092029352542
2703-23_0_4,31,0.00015253016274024292
2703-23_0_4,32,0.00014110729989832093
2703-23_0_4,33,0.00015080814944908817
2703-23_0_4,34,0.0001578931300824315
2703-23_0_4,35,0.0
2703-23_0_4,36,0.0005841946709135595
2703-23_0_4,37,0.0
2703-23_0_4,38,0.0
2703-23_0_4,39,0.0
2703-23_0_4,4,0.0
2703-23_0_4,40,0.0005454425191020084
2703-23_0_4,41,0.00030943502784773117
2703-23_0_4,42,0.0002627423768197924
2703-23_0_4,43,0.00021008737593438182
2703-23_0_4,44,0.0
2703-23_0_4,45,0.00018399411183281096
2703-23_0_4,46,0.00013505990236556376
2703-23_0_4,47,0.0
2703-23_0_4,48,0.0
2703-23_0_4,49,0.0
2703-23_0_4,5,0.0
2703-23_0_4,50,0.0
2703-23_0_4,51,0.0002857910554916051
2703-23_0_4,52,0.0011786738276201316
2703-23_0_4,53,0.00023882218835827358
2703-23_0_4,54,0.0006308887890986687
2703-23_0_4,55,0.0
2703-23_0_4,56,0.0001884262952282296
2703-23_0_4,57,0.00023896883868067232
2703-23_0_4,58,0.0
2703-23_0_4,59,0.0
2703-23_0_4,6,0.0
2703-23_0_4,60,0.0
2703-23_0_4,61,0.0
2703-23_0_4,62,0.0
2703-23_0_4,63,0.0
2703-23_0_4,64,0.00012703536592876386
2703-23_0_4,65,0.0002946444790090759
2703-23_0_4,66,0.00029540722566025234
2703-23_0_4,67,0.00042647490867798885
2703-23_0_4,68,0.0
2703-23_0_4,69,0.0
2703-23_0_4,7,0.00016598004741937169
2703-23_0_4,70,0.0007342313671541044
2703-23_0_4,71,0.0002794377021880431
2703-23_0_4,72,0.00026421437070228547
2703-23_0_4,73,0.0002952111804636266
2703-23_0_4,74,0.0001415289796264265
2703-23_0_4,75,0.0
2703-23_0_4,76,0.0002643272464071795
2703-23_0_4,77,0.0
2703-23_0_4,78,0.0003299447875211292
2703-23_0_4,79,0.00026478117492692436
2703-23_0_4,8,0.0
2703-23_0_4,80,0.0
2703-23_0_4,81,0.0005487577952530767
2703-23_0_4,82,0.0005687890931320036
2703-23_0_4,83,0.00022298964409295095
2703-23_0_4,84,0.0002289934316044526
2703-23_0_4,85,0.0
2703-23_0_4,86,0.00013205407790128066
2703-23_0_4,87,0.00027942879667232264
2703-23_0_4,88,0.0
2703-23_0_4,89,0.0002469417791173619
2703-23_0_4,9,0.0
2703-23_0_4,90,0.0005787037158724382
2703-23_0_4,91,0.00017431131915826806
2703-23_0_4,92,0.0
2703-23_0_4,93,0.0
2703-23_0_4,94,0.0
2703-23_0_4,95,0.0
2703-23_0_4,96,0.0
2703-23_0_4,97,0.0
2703-23_0_4,98,0.00018547407351184343
2703-23_0_4,99,0.00015287498213212747
