LV_grid,LV_osmid,EV_share
2703-23_0_4,0,0.0001139445859199
2703-23_0_4,1,0.0001781580037965
2703-23_0_4,10,0.0002155556035631
2703-23_0_4,100,0.0001742600899619
2703-23_0_4,101,0.0005596432982668
2703-23_0_4,102,0.0005422697678114
2703-23_0_4,103,0.0
2703-23_0_4,104,0.0002075342868702
2703-23_0_4,105,6.34909406516584e-05
2703-23_0_4,106,8.170975125861299e-05
2703-23_0_4,107,0.0
2703-23_0_4,108,0.0001766303120112
2703-23_0_4,109,0.0001193916840909
2703-23_0_4,11,0.000148513789101
2703-23_0_4,110,0.0001045461972895
2703-23_0_4,111,0.0001843423092174
2703-23_0_4,112,3.290740344558251e-05
2703-23_0_4,113,0.0001733387147969
2703-23_0_4,114,5.176682400503501e-05
2703-23_0_4,115,0.0
2703-23_0_4,117,0.0
2703-23_0_4,118,0.0001195109214665
2703-23_0_4,119,0.0001161269207018
2703-23_0_4,12,0.0001082209639942
2703-23_0_4,120,7.732599202992351e-05
2703-23_0_4,121,0.0
2703-23_0_4,122,9.516702551454116e-05
2703-23_0_4,123,0.0001549391190565
2703-23_0_4,124,0.0001034444763514
2703-23_0_4,125,0.0001118915540376
2703-23_0_4,126,0.0003510654819372
2703-23_0_4,127,0.0001449206326896
2703-23_0_4,128,0.0
2703-23_0_4,129,0.0
2703-23_0_4,13,0.0
2703-23_0_4,130,8.041277657283244e-05
2703-23_0_4,131,0.0003166362387743
2703-23_0_4,132,0.0001297059306622
2703-23_0_4,133,0.0003456105405173
2703-23_0_4,134,8.265853589605699e-05
2703-23_0_4,135,0.0002462661364771
2703-23_0_4,137,0.0
2703-23_0_4,138,0.000161767537428
2703-23_0_4,139,0.0
2703-23_0_4,14,0.0
2703-23_0_4,140,0.0002546289306559
2703-23_0_4,141,0.0001072940787515
2703-23_0_4,142,8.123167130990419e-05
2703-23_0_4,143,0.0001588791858007
2703-23_0_4,144,0.0002073463614324
2703-23_0_4,145,1.4796898976474467e-05
2703-23_0_4,146,0.0001753984658862
2703-23_0_4,147,0.0001073960722021
2703-23_0_4,148,0.0001006883660841
2703-23_0_4,149,0.0001034509677024
2703-23_0_4,15,0.0001346631965566
2703-23_0_4,150,7.170590902761045e-05
2703-23_0_4,151,8.56582464223746e-05
2703-23_0_4,153,0.0002407855700562
2703-23_0_4,154,9.201390772485982e-05
2703-23_0_4,155,0.0003405578977478
