LV_grid,LV_osmid,EV_share
2703-23_0_4,0,0.0
2703-23_0_4,1,0.0002166561906637758
2703-23_0_4,10,0.0002621350427654882
2703-23_0_4,100,0.0002119159761073475
2703-23_0_4,101,0.0006805766934361931
2703-23_0_4,102,0.0006594489144611591
2703-23_0_4,103,0.0
2703-23_0_4,104,0.00025238039867567485
2703-23_0_4,105,0.0
2703-23_0_4,106,0.0
2703-23_0_4,107,0.0
2703-23_0_4,108,0.0002147983797562385
2703-23_0_4,109,0.000145191049073579
2703-23_0_4,11,0.00018060615365012505
2703-23_0_4,110,0.0
2703-23_0_4,111,0.00022417686347013117
2703-23_0_4,112,0.0
2703-23_0_4,113,0.00021079550085971682
2703-23_0_4,114,0.0
2703-23_0_4,115,0.0
2703-23_0_4,117,0.0
2703-23_0_4,118,0.00014533605246957665
2703-23_0_4,119,0.00014122080252708925
2703-23_0_4,12,0.0
2703-23_0_4,120,0.0
2703-23_0_4,121,0.0
2703-23_0_4,122,0.0
2703-23_0_4,123,0.00018841993401505332
2703-23_0_4,124,0.0
2703-23_0_4,125,0.0
2703-23_0_4,126,0.00042692726888059456
2703-23_0_4,127,0.00017623655158916605
2703-23_0_4,128,0.0
2703-23_0_4,129,0.0
2703-23_0_4,13,0.0
2703-23_0_4,130,0.0
2703-23_0_4,131,0.00038505820595813463
2703-23_0_4,132,0.0001577341025658718
2703-23_0_4,133,0.00042029356843976533
2703-23_0_4,134,0.0
2703-23_0_4,135,0.00029948181884411544
2703-23_0_4,137,0.0
2703-23_0_4,138,0.00019672390622560174
2703-23_0_4,139,0.0
2703-23_0_4,14,0.0
2703-23_0_4,140,0.00030965173033550755
2703-23_0_4,141,0.0
2703-23_0_4,142,0.0
2703-23_0_4,143,0.00019321141030888473
2703-23_0_4,144,0.0002521518644049431
2703-23_0_4,145,0.0
2703-23_0_4,146,0.0002133003438373424
2703-23_0_4,147,0.0
2703-23_0_4,148,0.0
2703-23_0_4,149,0.0
2703-23_0_4,15,0.00016376258471037872
2703-23_0_4,150,0.0
2703-23_0_4,151,0.0
2703-23_0_4,153,0.00029281695609240197
2703-23_0_4,154,0.0
2703-23_0_4,155,0.00041414909941847995
2703-23_0_4,156,0.0001836226831603846
2703-23_0_4,157,0.0
2703-23_0_4,158,0.0001565029274661667
2703-23_0_4,159,0.00024915498510027356
2703-23_0_4,16,0.0
2703-23_0_4,160,0.0002065352891494755
2703-23_0_4,161,0.00015160811335389505
2703-23_0_4,162,0.0
2703-23_0_4,163,0.0003656520620431424
2703-23_0_4,164,0.0
2703-23_0_4,165,0.0
2703-23_0_4,166,0.0
2703-23_0_4,167,0.0
2703-23_0_4,168,0.00018876587105121057
2703-23_0_4,169,0.0
2703-23_0_4,17,0.00016063343978851548
2703-23_0_4,170,0.0
2703-23_0_4,171,0.0
2703-23_0_4,172,0.0
2703-23_0_4,173,0.00018531813636802488
2703-23_0_4,174,0.00015755419520205275
2703-23_0_4,175,0.0
2703-23_0_4,176,0.0
2703-23_0_4,178,0.0
2703-23_0_4,179,0.0
2703-23_0_4,18,0.0
2703-23_0_4,180,0.0
2703-23_0_4,181,0.0
2703-23_0_4,19,0.0
2703-23_0_4,2,0.0
2703-23_0_4,20,0.0
2703-23_0_4,21,0.0003172167155910393
2703-23_0_4,22,0.0
2703-23_0_4,23,0.0
2703-23_0_4,24,0.00026787373622015257
2703-23_0_4,25,0.00020813476362347924
2703-23_0_4,26,0.0003019309051172725
2703-23_0_4,27,0.0
2703-23_0_4,28,0.0003385378719988228
2703-23_0_4,29,0.0001663164013590234
2703-23_0_4,3,0.0
2703-23_0_4,30,0.00015448521166015088
2703-23_0_4,31,0.0001615377103816562
2703-23_0_4,32,0.00014944027944514604
2703-23_0_4,33,0.00015971400496293827
