LV_grid,LV_osmid,EV_share
2703-23_0_4,100,0.0002779619024456
2703-23_0_4,101,0.000892685846261
2703-23_0_4,102,0.0008649733644264
2703-23_0_4,103,0.0
2703-23_0_4,104,0.0003310375038469
2703-23_0_4,111,0.0002940440291433
2703-23_0_4,112,0.0
2703-23_0_4,113,0.0
2703-23_0_4,114,0.0
2703-23_0_4,115,0.0
2703-23_0_4,117,0.0
2703-23_0_4,118,0.0
2703-23_0_4,119,0.0
2703-23_0_4,120,0.0
2703-23_0_4,121,0.0
2703-23_0_4,122,0.0
2703-23_0_4,123,0.0
2703-23_0_4,124,0.0
2703-23_0_4,125,0.0
2703-23_0_4,126,0.0005599838107714
2703-23_0_4,127,0.0
2703-23_0_4,128,0.0
2703-23_0_4,129,0.0
2703-23_0_4,130,0.0
2703-23_0_4,131,0.0005050657975223
2703-23_0_4,132,0.0
2703-23_0_4,133,0.0005512826452026
2703-23_0_4,134,0.0
2703-23_0_4,144,0.0003307377443769
2703-23_0_4,145,0.0
2703-23_0_4,146,0.0002797777234846
2703-23_0_4,147,0.0
2703-23_0_4,148,0.0
2703-23_0_4,149,0.0
2703-23_0_4,150,0.0
2703-23_0_4,151,0.0
2703-23_0_4,156,0.0
2703-23_0_4,157,0.0
2703-23_0_4,158,0.0
2703-23_0_4,159,0.0003268068549357
2703-23_0_4,160,0.0
2703-23_0_4,163,0.0004796115171004
2703-23_0_4,164,0.0
2703-23_0_4,165,0.0
2703-23_0_4,166,0.0
2703-23_0_4,169,0.0
2703-23_0_4,170,0.0
2703-23_0_4,171,0.0
2703-23_0_4,172,0.0
2703-23_0_4,173,0.0
2703-23_0_4,174,0.0
2703-23_0_4,175,0.0
2703-23_0_4,176,0.0
2703-23_0_4,179,0.0
2703-23_0_4,180,0.0
2703-23_0_4,181,0.0
2703-23_0_4,28,0.0004440468938642
2703-23_0_4,35,0.0
2703-23_0_4,65,0.0004092965402714
2703-23_0_4,66,0.0004103560869036
2703-23_0_4,67,0.0005924248274447
2703-23_0_4,68,0.0
2703-23_0_4,69,0.0
2703-23_0_4,70,0.0010199354807041
2703-23_0_4,71,0.0003881725023717
2703-23_0_4,72,0.000367025468056
2703-23_0_4,73,0.000410083756599
2703-23_0_4,74,0.0
2703-23_0_4,75,0.0
2703-23_0_4,76,0.0003671822659558
2703-23_0_4,77,0.0
2703-23_0_4,78,0.0004583329050222
2703-23_0_4,79,0.0003678128271436
2703-23_0_4,80,0.0
2703-23_0_4,81,0.0007622904315039
2703-23_0_4,82,0.0007901163081216
2703-23_0_4,97,0.0
