LV_grid,LV_osmid,Nominal_power_kW,Thermal_capacitance_KWh/K,Thermal_conductivity_kW/K,COP,COP_0,COP_1,COP_2,Temperature_profile_name
2703-23_0_4,66,11.861912721503115,26.166666666666664,0.4368643207962764,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,69,0.3164231,0.4166666666666666,0.0077390342605046,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,70,15.630949587624688,34.666666666666664,0.610392540335864,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,76,12.61826928795492,28.33333333333333,0.5310622771076924,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,78,14.354020711712709,32.166666666666664,0.5370370312973334,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,100,18.24244688072121,39.75,0.6636442070695027,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,101,47.10703804729448,114.33333333333331,1.7774860645475952,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,111,8.73505998626073,19.25,0.3477679056706106,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,119,13.471253178950212,30.166666666666664,0.5036461277969809,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,122,15.896848711235515,37.25,0.5791080691346757,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,123,14.834153930860378,32.58333333333333,0.5439934695265735,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,126,41.20176769543317,90.5,1.510938383390943,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,130,15.927459455286204,35.33333333333333,0.6182278404151873,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,144,16.449138935166307,36.25,0.6548876145745265,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,145,0.3164231,0.4166666666666666,0.0049897583482721,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,148,12.801411860659869,28.666666666666664,0.4786029501717168,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,149,13.74683356425722,29.916666666666668,0.499472264859437,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,150,10.54704550582912,23.166666666666664,0.3867779655457479,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,156,15.564038347959505,34.33333333333333,0.5732105100893817,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,157,0.3164231,0.4166666666666666,0.00695643822924,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,159,17.62717040264973,39.5,0.7336604478958434,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,164,0.3164231,0.4166666666666666,0.00695643822924,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,166,26.292647306261685,58.0,0.9683362015102178,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,176,12.783004714752606,28.25,0.5239239268309526,3.49,5.6,-0.09,0.0005,BAS
