LV_grid,LV_osmid,Battery_capacity_kWh,Nominal_power_kW,Charging_efficiency,Discharging_efficiency
2703-23_0_4,67,12.85617177320792,5.142468709283168,0.9219544457292888,0.9219544457292888
2703-23_0_4,125,33.14927354915494,13.259709419661975,0.9219544457292888,0.9219544457292888
2703-23_0_4,157,35.21809230040614,14.087236920162455,0.9219544457292888,0.9219544457292888
2703-23_0_4,181,46.82545144168654,18.730180576674616,0.9219544457292888,0.9219544457292888
2703-23_0_4,82,23.16334222773589,9.265336891094355,0.9219544457292888,0.9219544457292888
2703-23_0_4,70,7.7062585649718205,3.0825034259887283,0.9219544457292888,0.9219544457292888
2703-23_0_4,174,19.11111657159548,7.644446628638189,0.9219544457292888,0.9219544457292888
2703-23_0_4,164,16.15597830825194,6.462391323300775,0.9219544457292888,0.9219544457292888
2703-23_0_4,166,4.474473266257268,1.7897893065029074,0.9219544457292888,0.9219544457292888
2703-23_0_4,133,5.041505145552843,2.016602058221137,0.9219544457292888,0.9219544457292888
