LV_grid,LV_osmid,EV_share
2703-23_0_4,100,0.0002000992724642
2703-23_0_4,101,0.0006426268736987
2703-23_0_4,102,0.0006226772064799
2703-23_0_4,103,0.0
2703-23_0_4,104,0.000238307347501
2703-23_0_4,111,0.0002116764771947
2703-23_0_4,112,0.0
2703-23_0_4,113,0.0001990412763377
2703-23_0_4,114,0.0
2703-23_0_4,115,0.0
2703-23_0_4,117,0.0
2703-23_0_4,118,0.0001372319298251
2703-23_0_4,119,0.0001333461514396
2703-23_0_4,120,0.0
2703-23_0_4,121,0.0
2703-23_0_4,122,0.0
2703-23_0_4,123,0.0001779133994837
2703-23_0_4,124,0.0001187831617835
2703-23_0_4,125,0.0001284827671253
2703-23_0_4,126,0.0004031212628106
2703-23_0_4,127,0.0001664093779165
2703-23_0_4,128,0.0
2703-23_0_4,129,0.0
2703-23_0_4,130,0.0
2703-23_0_4,131,0.0003635868719476
2703-23_0_4,132,0.0001489386489211
2703-23_0_4,133,0.0003968574659212
2703-23_0_4,134,0.0
2703-23_0_4,144,0.0002380915565911
2703-23_0_4,145,0.0
2703-23_0_4,146,0.0002014064460935
2703-23_0_4,147,0.0001233206979168
2703-23_0_4,148,0.0
2703-23_0_4,149,0.0001187906156682
2703-23_0_4,150,0.0
2703-23_0_4,151,0.0
2703-23_0_4,156,0.000173383649422
2703-23_0_4,157,0.0
2703-23_0_4,158,0.0001477761257067
2703-23_0_4,159,0.000235261787078
2703-23_0_4,160,0.0001950186194365
2703-23_0_4,163,0.000345262839234
2703-23_0_4,164,0.0
2703-23_0_4,165,0.0
2703-23_0_4,166,0.0
2703-23_0_4,169,0.0
2703-23_0_4,170,0.0
2703-23_0_4,171,0.0
2703-23_0_4,172,0.0
2703-23_0_4,173,0.0001749845620081
2703-23_0_4,174,0.0001487687734201
2703-23_0_4,175,0.0
2703-23_0_4,176,0.000129013220464
2703-23_0_4,179,0.0
2703-23_0_4,180,0.0
2703-23_0_4,181,0.0
2703-23_0_4,28,0.0003196605708209
2703-23_0_4,35,0.0
2703-23_0_4,65,0.000294644479009
2703-23_0_4,66,0.0002954072256602
2703-23_0_4,67,0.0004264749086779
2703-23_0_4,68,0.0
2703-23_0_4,69,0.0
2703-23_0_4,70,0.0007342313671541
2703-23_0_4,71,0.000279437702188
2703-23_0_4,72,0.0002642143707022
2703-23_0_4,73,0.0002952111804636
2703-23_0_4,74,0.0001415289796264
2703-23_0_4,75,0.0
2703-23_0_4,76,0.0002643272464071
2703-23_0_4,77,0.0
2703-23_0_4,78,0.0003299447875211
2703-23_0_4,79,0.0002647811749269
2703-23_0_4,80,0.0
2703-23_0_4,81,0.000548757795253
2703-23_0_4,82,0.000568789093132
2703-23_0_4,97,0.0
