LV_grid,LV_osmid,EV_share
2703-23_0_4,100,0.0001742600899619
2703-23_0_4,101,0.0005596432982668
2703-23_0_4,102,0.0005422697678114
2703-23_0_4,103,0.0
2703-23_0_4,104,0.0002075342868702
2703-23_0_4,111,0.0001843423092174
2703-23_0_4,112,3.290740344558251e-05
2703-23_0_4,113,0.0001733387147969
2703-23_0_4,114,5.176682400503501e-05
2703-23_0_4,115,0.0
2703-23_0_4,117,0.0
2703-23_0_4,118,0.0001195109214665
2703-23_0_4,119,0.0001161269207018
2703-23_0_4,120,7.732599202992351e-05
2703-23_0_4,121,0.0
2703-23_0_4,122,9.516702551454116e-05
2703-23_0_4,123,0.0001549391190565
2703-23_0_4,124,0.0001034444763514
2703-23_0_4,125,0.0001118915540376
2703-23_0_4,126,0.0003510654819372
2703-23_0_4,127,0.0001449206326896
2703-23_0_4,128,0.0
2703-23_0_4,129,0.0
2703-23_0_4,130,8.041277657283244e-05
2703-23_0_4,131,0.0003166362387743
2703-23_0_4,132,0.0001297059306622
2703-23_0_4,133,0.0003456105405173
2703-23_0_4,134,8.265853589605699e-05
2703-23_0_4,144,0.0002073463614324
2703-23_0_4,145,1.4796898976474467e-05
2703-23_0_4,146,0.0001753984658862
2703-23_0_4,147,0.0001073960722021
2703-23_0_4,148,0.0001006883660841
2703-23_0_4,149,0.0001034509677024
2703-23_0_4,150,7.170590902761045e-05
2703-23_0_4,151,8.56582464223746e-05
2703-23_0_4,156,0.0001509943038479
2703-23_0_4,157,8.998775151643284e-05
2703-23_0_4,158,0.000128693526182
2703-23_0_4,159,0.0002048820051964
2703-23_0_4,160,0.0001698355108879
2703-23_0_4,163,0.0003006784216878
2703-23_0_4,164,8.991321873104676e-05
2703-23_0_4,165,7.403491902777989e-05
2703-23_0_4,166,5.4564596004937706e-05
2703-23_0_4,169,0.0
2703-23_0_4,170,0.0
2703-23_0_4,171,6.071490855938882e-05
2703-23_0_4,172,6.053427622339629e-05
2703-23_0_4,173,0.0001523884876839
2703-23_0_4,174,0.0001295579914932
2703-23_0_4,175,8.723906810560106e-05
2703-23_0_4,176,0.0001123535089732
2703-23_0_4,179,4.122229889272429e-05
2703-23_0_4,180,7.822385909107254e-05
2703-23_0_4,181,0.000102416326367
2703-23_0_4,28,0.0002783822206974
2703-23_0_4,35,0.0
2703-23_0_4,65,0.000256596502259
2703-23_0_4,66,0.0002572607540497
2703-23_0_4,67,0.0003714034290954
2703-23_0_4,68,0.0
2703-23_0_4,69,8.332818814060157e-05
2703-23_0_4,70,0.000639418737097
2703-23_0_4,71,0.0002433534041496
2703-23_0_4,72,0.0002300958891094
2703-23_0_4,73,0.0002570900245254
2703-23_0_4,74,0.000123253085422
2703-23_0_4,75,0.0
2703-23_0_4,76,0.0002301941889695
2703-23_0_4,77,0.0
2703-23_0_4,78,0.0002873384178154
2703-23_0_4,79,0.000230589500875
2703-23_0_4,80,0.0
2703-23_0_4,81,0.0004778957044193
2703-23_0_4,82,0.0004953403244194
2703-23_0_4,97,0.0
