LV_grid,LV_osmid,Nominal_power_kW,Thermal_capacitance_KWh/K,Thermal_conductivity_kW/K,COP,COP_0,COP_1,COP_2,Temperature_profile_name
2703-23_0_4,28,19.49546695508637,58.74999999999999,0.7116977348795059,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,66,9.238075985887852,26.166666666666664,0.3402306091599603,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,67,13.760477126213592,38.5,0.5005940809933174,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,69,0.2464308,0.4166666666666666,0.0060271718595879,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,70,12.419838530466018,35.08333333333333,0.4804195126027565,3.59,5.760000000000001,-0.0925666666666666,0.0005143333333333,BAS
2703-23_0_4,74,9.532282227476635,27.0,0.3510659788784304,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,76,19.65425530086875,56.66666666666666,0.827184246646154,3.64,5.84,-0.0938499999999999,0.0005215,BAS
2703-23_0_4,78,11.17893354563536,32.166666666666664,0.4182452711329448,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,100,14.207245864077668,39.75,0.5168471355710225,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,101,36.6870341376,114.33333333333331,1.384308898039731,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,111,25.377867944846106,72.5,1.0411147468231687,3.805,6.105,-0.098,0.000545,BAS
2703-23_0_4,114,12.692816103283262,35.916666666666664,0.5053375798499369,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,118,14.548893033401322,41.83333333333333,0.5439355598671977,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,119,10.491432824883026,30.166666666666664,0.3922403838086166,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,122,12.380490379459458,37.25,0.4510102605129444,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,123,11.552862039797562,32.58333333333333,0.4236629559921798,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,126,32.08800044813338,90.5,1.1767211514258498,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,127,14.432965598872228,41.5,0.5396014119798096,4.12,6.61,-0.106,0.00059,BAS
2703-23_0_4,130,12.650760874301604,35.74999999999999,0.4868944837901189,3.7000000000000006,5.9366666666666665,-0.0953333333333333,0.00053,BAS
2703-23_0_4,131,11.562305294439254,32.75,0.4258300299358738,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,133,8.109560586407767,22.416666666666668,0.2914714454268449,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,144,12.810614860622318,36.25,0.5100274877835791,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,145,0.2464308,0.4166666666666666,0.0038860315241566,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,146,17.71121574364486,50.16666666666666,0.6522892570518984,4.12,6.61,-0.106,0.00059,BAS
2703-23_0_4,147,10.65763612640884,30.666666666666664,0.3987416056396986,4.12,6.61,-0.106,0.00059,BAS
2703-23_0_4,148,9.9697593695021,28.666666666666664,0.3727367183153705,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,149,10.706055255468891,29.916666666666668,0.3889897728930756,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,150,8.214055363334328,23.166666666666664,0.301223278173468,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,151,8.462702720623875,24.33333333333333,0.3163927957793261,4.12,6.61,-0.106,0.00059,BAS
2703-23_0_4,156,12.121297153457943,34.33333333333333,0.446417232400967,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,157,5.515845095564157,15.0,0.1950366549324612,3.69,5.919999999999999,-0.0951333333333333,0.0005286666666666,BAS
2703-23_0_4,159,13.728067590707806,39.5,0.5713758922889353,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,163,16.328446408177573,46.25,0.601363019375089,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,164,7.312906927292817,20.75,0.2698007059899048,3.64,5.84,-0.0938499999999999,0.0005215,BAS
2703-23_0_4,166,20.47675441457944,58.0,0.7541417324055171,3.49,5.6,-0.09,0.0005,BAS
2703-23_0_4,171,8.804994598106582,24.83333333333333,0.3228940176104081,4.12,6.61,-0.106,0.00059,BAS
2703-23_0_4,172,8.57863015515297,24.666666666666664,0.3207269436667141,3.79,6.08,-0.0977,0.000543,BAS
2703-23_0_4,176,17.896453121024205,51.08333333333333,0.7049218953657885,3.7000000000000006,5.9366666666666665,-0.0953333333333333,0.00053,BAS
